date,England,Wales,Scotland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East England,London,South East,South West
2015-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-02-01,100.16515420629453,100.06038840762854,100.09963029053677,100.02254433479301,99.99900176497789,100.01105240270365,100.06269203994866,100.11389195211568,100.12302564725522,100.27093630649506,100.1892183776219,100.09960679289671
2015-03-01,100.36246747205576,100.07240663194948,100.11332269502722,100.1402449308766,99.99312788065168,100.02545799067933,100.14399546862242,100.22538292286576,100.31201972838713,100.62395400641955,100.33919044845712,100.18354710972743
2015-04-01,100.60705284161544,100.14834899720873,100.24360023788957,100.1930761132747,100.05168167694806,100.13501469239287,100.5313074699126,100.3696012982321,100.57469157831893,100.93895504973463,100.57141716913165,100.42891888579697
2015-05-01,100.92835642842199,100.17739902642701,100.3315504762063,100.28471673220993,100.1029504856381,100.2209160796355,100.73454342072785,100.59218616229894,100.79720853178252,101.54275664803525,100.72455622146978,100.5470568931414
2015-06-01,101.11236682784599,100.2350595157332,100.45899558268434,100.31661688228748,100.12380477575755,100.22492193078116,100.83090862821689,100.81147370463508,101.15947378415756,101.80018790905069,100.89499236812082,100.61372384539604
2015-07-01,101.23979116340638,100.23872295867169,100.48717926518047,100.32862824373507,100.21005878809991,100.3982416567005,100.95059106350529,100.99233030323104,101.30184370912491,101.96153144054487,100.999660654934,100.61639566210003
2015-08-01,101.64455025793102,100.14561053348197,100.67878587342149,100.42253601525198,100.41478545433901,100.61304452104316,101.12226455841002,101.09670696615403,101.43409408217552,102.65851631393919,101.31754637933837,100.92250724328015
2015-09-01,101.76491645323449,100.09151340834161,100.79064751862484,100.369423970242,100.42954544136788,100.62494462193403,101.36690680961192,101.21602444520855,101.61525232523294,102.753453502219,101.57964101161572,100.97832496346754
2015-10-01,101.96978969151161,100.05411459708704,100.81771489487137,100.43719555902967,100.56838318690274,100.70616314755583,101.60207969907475,101.32408320086522,101.90231442499478,103.0209630793465,101.7576897286504,101.11783457041625
